Date,Tweet_ID,Tweet_ID_precision,Raw Text,Likes,Retweets
Mon Aug 12 23:32:33 +0000 2024,1823140549219524805,exact,"@user Ερχόμενη από ταξίδι σήμερα το μεσημέρι, έπιασα Δεύτερο. Τραγουδάκια και κουβεντούλα. Κάποια στιγμή λέει η εκφωνήτρια η οποία ενδιάμεσα έλεγε και ειδήσεις για τη φωτιά και λάμβανε μνματα:΄΄ Για ανεμογενήτριες ε; Συμφωνώ. Τι να λέμε τώρα;΄΄  Η δική μας ΕΡΤ.😠",0,0
Mon Aug 12 23:31:22 +0000 2024,1823140249025065419,exact,Φωτιά στην Αττική: «Καμπανάκι» από Κολυδά για κίνδυνο αναζωπυρώσεων τα ξημερώματα https://t.co/8HQ1P6qqVu,0,0
Mon Aug 12 23:30:39 +0000 2024,1823140068531318920,exact,@user Ποιος καλός άνθρωπος θα βάλει φωτιά στη Βουλή ρε πούστη μου να ηρεμήσουμε,8,0
Mon Aug 12 23:30:25 +0000 2024,1823140011115458679,exact,@user Ξαναδιάβασε τι έχεις γράψει μήπως και καταλάβεις ότι η φωτιά ξεκίνησε από τον Βαρνάβα και έφτασε ανενόχλητη μέχρι το Χαλανδρι Αλλά για σένα μαλλον είναι επιτυχία που δεν έφθασε μέχρι τους Αμπελοκήπους,1,0
Mon Aug 12 23:30:20 +0000 2024,1823139988441026759,exact,@user Δεν είπες για Πυροσβεστική του Μητσοτάκη  Νομίζω ότι πρέπει να διορθώσεις 😁,0,0
Mon Aug 12 23:30:00 +0000 2024,1823139906513682906,exact,Φωτιά στην Αττική: Συγκλονιστικές εικόνες με εξαντλημένους πυροσβέστες  #Πυροσβεστες #πυροσβέστες #φωτια #πυρκαγια #φωτιά #καπνός #φωτιατωρα #φωτια_πεντελη #πυρκαγιά #Πεντέλη #Βαρναβας #Ραφηνα #Πεντέλη #Μαραθώνας  https://t.co/OaWuStwUGW,0,0
Mon Aug 12 23:29:49 +0000 2024,1823139860720340993,exact,"@user 1/2  Αν όλα δούλεψαν άριστα,  θα είχε σβήσει και η φωτιά.  Προφανώς δεν έχει μείνει τίποτα όρθιο να δουλεύει, ούτως ή άλλως το βλέπω στην καθημερινότητα μου, τίποτα δημόσιο δεν δουλεύει πλέον.",0,0
Mon Aug 12 23:29:40 +0000 2024,1823139823885914541,exact,@user Μην σκας μλκα κ μου το έσωσε η Πυροσβεστική κ ο ΚΥΡΙΑΚΟΣ.Κλαψε τώρα,28,6
Mon Aug 12 23:29:18 +0000 2024,1823139729920938349,exact,Πυρκαγιά Αττική: Μια γυναίκα βρέθηκε απανθρακωμένη στο #Πατημα_Βριλησσιων  - Documento https://t.co/4R8UVRGgzl,0,0
Mon Aug 12 23:28:49 +0000 2024,1823139609972269361,exact,Φωτιά στην Αττική: Βρέθηκε απανθρακωμένη σορός γυναίκας στο Πάτημα Βριλησσίων https://t.co/oU6dW49F49,0,0
