Tweet_ID,toponym,gold_toponym,orig_geocoded_as,orig_success,now_n_candidates,now_top_name,now_success,shift_km,orig_within_10km,now_within_10km,orig_choice_rank_today
1948110433073656064,βασα,Βάσα Κοιλανίου,Βάσα,True,3,Βάσα,True,0.0,True,True,0.0
1948110433073656064,ισραηλ,Ισραήλ,Πρεσβεία Ισραήλ,True,2,Πρεσβεία Ισραήλ,True,0.0,,,0.0
1948110433073656064,ιορδανια,Ιορδανία,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1948115383396733440,λεμεσο,Λεμεσός,Λεμεσός,True,0,,False,,True,False,
1948123845228912896,ελληνοχωρι κορινθιας,Ελληνοχώρι,Ελληνοχώρι,True,1,Ελληνοχώρι,True,0.0,True,True,0.0
1948127064067879168,κορινθια,Περιφερειακή Ενότητα Κορινθίας,Περιφερειακή Ενότητα Κορινθίας,True,1,Περιφερειακή Ενότητα Κορινθίας,True,0.0,True,True,0.0
1948127064067879168,ελληνοχωρι,Ελληνοχώρι Κορινθίας,Ελληνοχώρι,True,2,Ελληνοχώρι,True,498.638,True,False,1.0
1955351538207006976,χιο,Χίος,Χίος,True,2,Λιμάνι Χίου,True,0.502,True,True,0.0
1955389102276149248,πρεβεζα,Πρέβεζα,Πρέβεζα,True,1,Πρέβεζα,True,0.0,True,True,0.0
1955389102276149248,ΝΟΝΕ,Δήμος Ζηρού,ΝΟΝΕ ,False,0,,False,,False,False,
1955390953881211136,πατρα,Πάτρα,FAILED_TO_GEOCODE,False,1,Πάτρα,True,,False,True,
1955390953881211136,συχαινα,Συχαινά,Κάτω Συχαινά,True,2,Κάτω Συχαινά,True,0.0,True,True,0.0
1955394230563787008,χιο,Χίος,Χίος,True,2,Λιμάνι Χίου,True,0.502,True,True,0.0
1955394230563787008,ρεστα χιου,Ρεστά Χίου,FAILED_TO_GEOCODE,False,1,Agios Georgios Resta,True,,False,True,
1955400020255006976,αρτα,Άρτα,Άρτα,True,2,Άρτα,True,0.0,True,True,0.0
1955400020255006976,ΝΟΝΕ,Καμπή Άρτας ,ΝΟΝΕ ,False,0,,False,,False,False,
1955400564537442560,σκαλα ερεσσου λεσβου,Σκάλα Ερεσού Λέσβου,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1955400564537442560,χιο,Χίος,Χίος,True,2,Λιμάνι Χίου,True,0.502,True,True,0.0
1955403399173718272,σταμνα αιτωλοακαρνανιας,Σταμνά Αιτωλοακαρνανίας,Σταμνά,True,2,Σταμνά,True,0.0,True,True,0.0
1955411455655940096,ανω συχαινα,Άνω Συχαινά,Άνω Συχαινά,True,1,Άνω Συχαινά,True,0.0,True,True,0.0
1955411455655940096,πατρα,Πάτρα,FAILED_TO_GEOCODE,False,1,Πάτρα,True,,False,True,
1955411455655940096,περιμετρικη,Περιμετρική Πατρών,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1955414925293072896,συχαινα,Άνω Συχαινά,Κάτω Συχαινά,True,2,Κάτω Συχαινά,True,0.0,True,True,0.0
1955414925293072896,πατρας,Πάτρα,FAILED_TO_GEOCODE,False,4,Πανεπιστημιούπολη Πατρών,True,,False,True,
1955417026849280256,συχαινα,Κάτω Συχαινά,Κάτω Συχαινά,True,2,Κάτω Συχαινά,True,0.0,True,True,0.0
