Date;Tweet_ID;Username;Raw Text;Likes;Retweets;is_fire;is_forest;is_urban
Mon Aug 12 23:15:45 +0000 2024;1,82314E+18;Apo_christ_🟢⚪;@sotpap1997 Ναι, αυτό το ξέρω απλά έχω μάθει ότι αυτή τη στιγμή υπάρχουν δεκάδες μέτωπα και όχι μια φωτιά;0;0;;;
Mon Aug 12 23:15:37 +0000 2024;1,82314E+18;Dimitri Vance;ΕΜΕΙΣ ΛΕΓΑΜΕ ΓΙΑ ΜΟΜΑ..... #Αττική #Φωτιά https://t.co/liMNYFKc8I;0;0;;;
Mon Aug 12 23:15:12 +0000 2024;1,82314E+18;loutrakiblog.gr;Όλα εδώ πληρώνονται! - Κάηκε το σπίτι του άνδρα που καταδικάστηκε για τη φωτιά στο Μάτι - #loutrakiblog -  https://t.co/QVVTXzWKst https://t.co/6KSyvpAD2C;0;0;;;
Mon Aug 12 23:14:58 +0000 2024;1,82314E+18;Σιχαμένη κατακουζηνα;Ρε μάγκες πήραμε  #φωτια Δεν πειράζει στείλαμε όπλα σε Ισραήλ Ουκρανία;3;1;;;
Mon Aug 12 23:14:42 +0000 2024;1,82314E+18;theFAQ.gr;Πάμε τώρα: Στο Μάτι είχαμε ένα ακραίο καιρικο φαινόμενο ( άνεμοι ταχύτητας 190χλμ) που εξελίχθηκε αστραπιαία (μέσα σε 50’) σε μια πολεοδομική ποντικοπαγίδα! Στην τραγωδία στο Χαλάνδρι είχαμε μια φωτιά που εξελισσόταν αργά επι 24 ώρες και διήνυσε απόσταση 40χλμ με μέτριο άνεμο . https://t.co/hWXKdlFjCF;666;185;;;
Mon Aug 12 23:14:36 +0000 2024;1,82314E+18;Θεία Λϊα;#φωτια  συστήνεται ομάδα εθελοντών για εύρεση τραυματισμενων μη ανθρωπίνων ζώων κ καταγραφή  https://t.co/wRYbLxWfo8 https://t.co/wH0gATaGED;6;23;;;
Mon Aug 12 23:14:36 +0000 2024;1,82314E+18;𝓑𝓮𝓽𝓽𝔂 𝓑𝓸𝓸𝓹 💋💋💋;"Ήρεμα ρωτάω... φεύγετε ""διακοπαρες""...Αυγούστο μηνα και τα ζωακια σας τα αφήνετε στις.. αυλες? 🤔🤔🤔🤔🤔🤔🤔 #φωτια";8;0;;;
Mon Aug 12 23:14:28 +0000 2024;1,82314E+18;𝑪𝒐𝒎𝒃𝒊𝒏𝒆 𝑨𝒅𝒗𝒊𝒔𝒐𝒓 (41% v/v);"Η ατάκα ότι ""τα σπίτια ξαναγίνονται"" είναι μια μπαρούφα που προκαλεί τους πυρόπληκτους! Σήμερα κανένα σπίτι δεν ξαναγίνεται με τα κουτσουρεμένα, αρχικά από την κρίση και μετά από τον πληθωρισμό, εισοδήματα. #φωτια #πυρκαγιά";29;2;;;
Mon Aug 12 23:14:11 +0000 2024;1,82314E+18;Tzortzis Travoltidis;Τώρα μάλιστα. Χάρηκα αφού δεν έχω αυτοκίνητο...   #Κασσελακης #Φωτια_τωρα #Αττική #ΣΥΡΙΖΑ_ΠΣ #ΣΥΡΙΖΑ https://t.co/V2qfOZqgrO;1;0;;;
Mon Aug 12 23:14:09 +0000 2024;1,82314E+18;MaSa;Τώρα θα βγουν να μας πουν αυτά κάνει η κλιματική αλλαγή, του χρόνου τα ίδια!!  #φωτια;5;1;;;
