Date;Tweet_ID;Raw Text;Likes;Retweets;is_fire;is_wildland;is_urban
Mon Aug 12 22:49:16 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:48:44 +0000 2024;1,82E+18;;24;7;;;
Mon Aug 12 22:48:37 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:48:17 +0000 2024;1,82E+18;;155;17;;;
Mon Aug 12 22:47:58 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 22:47:45 +0000 2024;1,82E+18;;20;1;;;
Mon Aug 12 22:47:32 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:47:23 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:46:55 +0000 2024;1,82E+18;;2;1;;;
Mon Aug 12 22:46:23 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:46:22 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:46:11 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:46:09 +0000 2024;1,82E+18;;6;0;;;
Mon Aug 12 22:45:51 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 22:45:31 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:45:28 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:45:19 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:45:17 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:44:48 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:43:43 +0000 2024;1,82E+18;;65;2;;;
Mon Aug 12 22:41:51 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:41:31 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:41:29 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:41:16 +0000 2024;1,82E+18;;40;8;;;
Mon Aug 12 22:40:39 +0000 2024;1,82E+18;;234;56;;;
Mon Aug 12 22:40:37 +0000 2024;1,82E+18;;30;5;;;
Mon Aug 12 22:40:22 +0000 2024;1,82E+18;;27;2;;;
Mon Aug 12 22:40:21 +0000 2024;1,82E+18;;5;2;;;
Mon Aug 12 22:40:08 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:39:29 +0000 2024;1,82E+18;;8;3;;;
Mon Aug 12 22:39:27 +0000 2024;1,82E+18;;8;1;;;
Mon Aug 12 22:39:16 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:39:08 +0000 2024;1,82E+18;;23;9;;;
Mon Aug 12 22:39:04 +0000 2024;1,82E+18;;8;2;;;
Mon Aug 12 22:38:55 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:38:52 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:38:48 +0000 2024;1,82E+18;;8;3;;;
Mon Aug 12 22:38:16 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:37:40 +0000 2024;1,82E+18;;3;1;;;
Mon Aug 12 22:37:04 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:36:36 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:36:31 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:36:29 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:36:07 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:36:01 +0000 2024;1,82E+18;;11;1;;;
Mon Aug 12 22:35:55 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:35:51 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:35:42 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:35:33 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:35:02 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:34:53 +0000 2024;1,82E+18;;64;219;;;
